Conference/Journal,Year,Artifact Track URL,Discipline,Badge System,Artifact Types,Notes,Region,Data Collection Type,LLM,Tool Use,Prompt,Data Collection Date
"DELFI (Fachtagung Bildungstechnologien, GI)",2025/2026,https://delfi-tagung.de/2026/artefakte,Educational technology,"FAIR4EDTECH; FAIR badges adapted from ACM (Available/Verfügbar, Functional/Funktionsfähig, Reusable/Wiederverwendbar)","Software, Data, Models, OERs, Others","""FAIR4EDTECH: Towards an Artifact Evaluation Track"" (Bernoth et al., DELFI 2025, LNI P-369); German/English",DACH,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
"BTW – Datenbanksysteme für Business, Technologie und Web (GI/DBIS)",2025 (Bamberg),https://btw2025.gi.de/calls/reproducibility,Databases,Reproducibility label following SIGMOD guidelines,"Code, experimental setups, scripts",Second edition of Reproducibility Initiative; LNI P-361 proceedings,DACH,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
Software Engineering (SE) conference (GI Fachbereich Softwaretechnik),2026 (Bern),https://se2026.inf.unibe.ch/de/tracks/scientific-program/,Software engineering,None (open-data availability expectation only; Zenodo/Figshare/arXiv),Papers + data,Scientific program re-presents already-published papers; no badge track,DACH,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
RDMxSE workshop (NFDIxCS) @ SE 2026,2026 (Bern),https://se2026.inf.unibe.ch/de/workshops/rdmxse/,Software engineering / research data management,"None yet (building ""Artefakt-Evaluation"" service)","Software, RDM containers, reusable execution environments",NFDIxCS-driven artifact-evaluation infrastructure for German SE community,DACH,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
Datenbank-Spektrum (Springer; GI Fachgruppe DBIS),current,https://link.springer.com/journal/13222,Databases,Standard Springer research-data policy (no badges),Data availability statements,"Reproducibility a community theme (TU Dresden 2022 workshop), no formal badge",DACH,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
ICSE,2026,https://conf.researchr.org/track/icse-2026/icse-2026-artifact-evaluation,Software engineering,"ACM (Available, Functional, Reusable, Results Reproduced, Results Replicated)","Software, data, models",GitHub alone not archival; Software Heritage/Zenodo required,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
FSE/ESEC,2026,https://conf.researchr.org/track/fse-2026/fse-2026-artifacts,Software engineering,"ACM (Functional, Reusable, Available)","Software, data repositories",Artifacts on Zenodo with DOI,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
ASE,2026,https://conf.researchr.org/track/ase-2026/ase-2026-artifact-evaluation,Software engineering,ACM,"Software, data","IEEE/ACM, Munich Oct 2026",International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
SEAMS,2026,https://conf.researchr.org/track/seams-2026/seams-2026-artifact-track,Self-adaptive systems,ACM-style,Dedicated artifacts,≥3 PC reviewers per artifact,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
ICSA,2026,https://conf.researchr.org/track/icsa-2026/icsaartifacts+evaluation+track2026,Software architecture,"IEEE (ROR, ORO, ROR-R, RER)","Software, data repositories",Based on ICSE 2025/ACM policy; Best Artifact Award,International,Automated,Claude Sonnet 4.6,Research tool,https://github.com/FabiLochner/rse-award-research/blob/main/artefact-tracks/research/automated/claude_research_2026-06-15.md,2026-06-15
